Roll = 0.994128, Pitch = 0.321267, Yaw = 172.239322
Roll = 0.992832, Pitch = 0.325399, Yaw = 172.239337
Roll = 0.992832, Pitch = 0.325399, Yaw = 172.239337
Roll = 0.994342, Pitch = 0.330712, Yaw = 172.238086
Roll = 0.994342, Pitch = 0.330712, Yaw = 172.238086
Roll = 0.999411, Pitch = 0.331832, Yaw = 172.234225
Roll = 0.999411, Pitch = 0.331832, Yaw = 172.234225
Roll = 0.998698, Pitch = 0.333084, Yaw = 172.233554
Roll = 0.998698, Pitch = 0.333084, Yaw = 172.233554
Roll = 0.999764, Pitch = 0.327497, Yaw = 172.233203
Roll = 0.999764, Pitch = 0.327497, Yaw = 172.233203
Roll = 1.001574, Pitch = 0.322794, Yaw = 172.232333
Roll = 1.001574, Pitch = 0.322794, Yaw = 172.232333
Roll = 1.002846, Pitch = 0.319682, Yaw = 172.231052
Roll = 1.002846, Pitch = 0.319682, Yaw = 172.231052
Roll = 0.998645, Pitch = 0.319544, Yaw = 172.232562
Roll = 0.998645, Pitch = 0.319544, Yaw = 172.232562
Roll = 0.998183, Pitch = 0.319285, Yaw = 172.233386
Roll = 0.998183, Pitch = 0.319285, Yaw = 172.233386
Roll = 0.995687, Pitch = 0.325610, Yaw = 172.234729
Roll = 0.995687, Pitch = 0.325610, Yaw = 172.234729
Roll = 0.992766, Pitch = 0.327016, Yaw = 172.235034
Roll = 0.992766, Pitch = 0.327016, Yaw = 172.235034
Roll = 0.993391, Pitch = 0.324524, Yaw = 172.235248
Roll = 0.993391, Pitch = 0.324524, Yaw = 172.235248
Roll = 0.999030, Pitch = 0.322338, Yaw = 172.231830
Roll = 0.999030, Pitch = 0.322338, Yaw = 172.231830
Roll = 0.995531, Pitch = 0.327342, Yaw = 172.233127
Roll = 0.995531, Pitch = 0.327342, Yaw = 172.233127
Roll = 0.995535, Pitch = 0.327181, Yaw = 172.232577
Roll = 0.995535, Pitch = 0.327181, Yaw = 172.232577
Roll = 0.997031, Pitch = 0.331487, Yaw = 172.231433
Roll = 0.997031, Pitch = 0.331487, Yaw = 172.231433
Roll = 0.997440, Pitch = 0.329079, Yaw = 172.230777
Roll = 0.997440, Pitch = 0.329079, Yaw = 172.230777
Roll = 1.000188, Pitch = 0.324343, Yaw = 172.229846
Roll = 1.000188, Pitch = 0.324343, Yaw = 172.229846
Roll = 1.004745, Pitch = 0.324398, Yaw = 172.226611
Roll = 1.004745, Pitch = 0.324398, Yaw = 172.226611
Roll = 1.007895, Pitch = 0.324769, Yaw = 172.224643
Roll = 1.007895, Pitch = 0.324769, Yaw = 172.224643
Roll = 1.009354, Pitch = 0.324217, Yaw = 172.222903
Roll = 1.009354, Pitch = 0.324217, Yaw = 172.222903
Roll = 1.008886, Pitch = 0.328934, Yaw = 172.223117
Roll = 1.008886, Pitch = 0.328934, Yaw = 172.223117
Roll = 1.010145, Pitch = 0.325009, Yaw = 172.223361
Roll = 1.010145, Pitch = 0.325009, Yaw = 172.223361
Roll = 1.004218, Pitch = 0.323850, Yaw = 172.234134
Roll = 1.004218, Pitch = 0.323850, Yaw = 172.234134
Roll = 1.002575, Pitch = 0.319626, Yaw = 172.259341
Roll = 1.002575, Pitch = 0.319626, Yaw = 172.259341
Roll = 1.006360, Pitch = 0.318125, Yaw = 172.282962
Roll = 1.006360, Pitch = 0.318125, Yaw = 172.282962
Roll = 1.010622, Pitch = 0.312512, Yaw = 172.283664
Roll = 1.010622, Pitch = 0.312512, Yaw = 172.283664
Roll = 1.011419, Pitch = 0.307261, Yaw = 172.292178
Roll = 1.011419, Pitch = 0.307261, Yaw = 172.292178
Roll = 1.012651, Pitch = 0.302175, Yaw = 172.299594
Roll = 1.012651, Pitch = 0.302175, Yaw = 172.299594
Roll = 1.014203, Pitch = 0.295728, Yaw = 172.307895
Roll = 1.014203, Pitch = 0.295728, Yaw = 172.307895
Roll = 1.019606, Pitch = 0.286406, Yaw = 172.302981
Roll = 1.019606, Pitch = 0.286406, Yaw = 172.302981
Roll = 1.019501, Pitch = 0.284064, Yaw = 172.273074
Roll = 1.019501, Pitch = 0.284064, Yaw = 172.273074
Roll = 1.022672, Pitch = 0.280426, Yaw = 172.233050
Roll = 1.022672, Pitch = 0.280426, Yaw = 172.233050
Roll = 1.022485, Pitch = 0.276754, Yaw = 172.198566
Roll = 1.022485, Pitch = 0.276754, Yaw = 172.198566
Roll = 1.017707, Pitch = 0.276833, Yaw = 172.189120
Roll = 1.017707, Pitch = 0.276833, Yaw = 172.189120
Roll = 1.012673, Pitch = 0.280344, Yaw = 172.188449
Roll = 1.012673, Pitch = 0.280344, Yaw = 172.188449
Roll = 1.006865, Pitch = 0.280526, Yaw = 172.191440
Roll = 1.006865, Pitch = 0.280526, Yaw = 172.191440
Roll = 1.006229, Pitch = 0.275528, Yaw = 172.192126
Roll = 1.006229, Pitch = 0.275528, Yaw = 172.192126
Roll = 1.004891, Pitch = 0.267964, Yaw = 172.193622
Roll = 1.004891, Pitch = 0.267964, Yaw = 172.193622
Roll = 1.004543, Pitch = 0.273402, Yaw = 172.194659
Roll = 1.004543, Pitch = 0.273402, Yaw = 172.194659
Roll = 1.000765, Pitch = 0.274428, Yaw = 172.196826
Roll = 1.000765, Pitch = 0.274428, Yaw = 172.196826
Roll = 0.995074, Pitch = 0.272380, Yaw = 172.198688
Roll = 0.995074, Pitch = 0.272380, Yaw = 172.198688
Roll = 1.000804, Pitch = 0.270874, Yaw = 172.193133
Roll = 1.000804, Pitch = 0.270874, Yaw = 172.193133
Roll = 1.000649, Pitch = 0.270310, Yaw = 172.189502
Roll = 1.000649, Pitch = 0.270310, Yaw = 172.189502
Roll = 0.997683, Pitch = 0.269816, Yaw = 172.188479
Roll = 0.997683, Pitch = 0.269816, Yaw = 172.188479
Roll = 0.999112, Pitch = 0.265866, Yaw = 172.186801
Roll = 0.999112, Pitch = 0.265866, Yaw = 172.186801
Roll = 0.998851, Pitch = 0.260890, Yaw = 172.186557
Roll = 0.998851, Pitch = 0.260890, Yaw = 172.186557
Roll = 0.997823, Pitch = 0.257251, Yaw = 172.186832
Roll = 0.997823, Pitch = 0.257251, Yaw = 172.186832
Roll = 0.996043, Pitch = 0.255744, Yaw = 172.187823
Roll = 0.996043, Pitch = 0.255744, Yaw = 172.187823
Roll = 0.991607, Pitch = 0.252936, Yaw = 172.190127
Roll = 0.991607, Pitch = 0.252936, Yaw = 172.190127
Roll = 0.988584, Pitch = 0.246920, Yaw = 172.191684
Roll = 0.988584, Pitch = 0.246920, Yaw = 172.191684
Roll = 0.982304, Pitch = 0.243769, Yaw = 172.194949
Roll = 0.982304, Pitch = 0.243769, Yaw = 172.194949
Roll = 0.986552, Pitch = 0.248144, Yaw = 172.191684
Roll = 0.986552, Pitch = 0.248144, Yaw = 172.191684
Roll = 0.990959, Pitch = 0.247231, Yaw = 172.188373
Roll = 0.990959, Pitch = 0.247231, Yaw = 172.188373
Roll = 0.994393, Pitch = 0.240779, Yaw = 172.186755
Roll = 0.994393, Pitch = 0.240779, Yaw = 172.186755
Roll = 0.994180, Pitch = 0.238376, Yaw = 172.186969
Roll = 0.994180, Pitch = 0.238376, Yaw = 172.186969
Roll = 0.993024, Pitch = 0.236876, Yaw = 172.188144
Roll = 0.993024, Pitch = 0.236876, Yaw = 172.188144
Roll = 0.988402, Pitch = 0.238800, Yaw = 172.190295
Roll = 0.988402, Pitch = 0.238800, Yaw = 172.190295
Roll = 0.986845, Pitch = 0.233620, Yaw = 172.191745
Roll = 0.986845, Pitch = 0.233620, Yaw = 172.191745
Roll = 0.983921, Pitch = 0.231223, Yaw = 172.193988
Roll = 0.983921, Pitch = 0.231223, Yaw = 172.193988
Roll = 0.980423, Pitch = 0.237752, Yaw = 172.195529
Roll = 0.980423, Pitch = 0.237752, Yaw = 172.195529
Roll = 0.980541, Pitch = 0.239454, Yaw = 172.194736
Roll = 0.980541, Pitch = 0.239454, Yaw = 172.194736
Roll = 0.980615, Pitch = 0.241258, Yaw = 172.194614
Roll = 0.980615, Pitch = 0.241258, Yaw = 172.194614
Roll = 0.979838, Pitch = 0.243050, Yaw = 172.194995
Roll = 0.979838, Pitch = 0.243050, Yaw = 172.194995
Roll = 0.978832, Pitch = 0.242513, Yaw = 172.196277
Roll = 0.978832, Pitch = 0.242513, Yaw = 172.196277
Roll = 0.980761, Pitch = 0.243091, Yaw = 172.194736
Roll = 0.980761, Pitch = 0.243091, Yaw = 172.194736
Roll = 0.981223, Pitch = 0.235699, Yaw = 172.196246
Roll = 0.981223, Pitch = 0.235699, Yaw = 172.196246
Roll = 0.985131, Pitch = 0.233334, Yaw = 172.194568
Roll = 0.985131, Pitch = 0.233334, Yaw = 172.194568
Roll = 0.988162, Pitch = 0.229806, Yaw = 172.192859
Roll = 0.988162, Pitch = 0.229806, Yaw = 172.192859
Roll = 0.986439, Pitch = 0.233648, Yaw = 172.192859
Roll = 0.986439, Pitch = 0.233648, Yaw = 172.192859
Roll = 0.991739, Pitch = 0.233860, Yaw = 172.188815
